Trial_ID,SppVar,Seedlots,Seed_Class,StockType,Num_Planted,Planting_Comments,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,Survival_est,Damage_Comments,SiteIndex,SiteIndex_Method,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3
EP1392-SPIR,BA,BC_South_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LADY,FDI,63016,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-CHUR,FDI,ID_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-HIGH,LW,60773,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-REVN,PW,61256,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GLEN,FDI,2010.201,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,FDI,63016,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SPIL,FDI,63016,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-RISK,LW,60779,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,YC,Maritime,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-REVS,CW,Cw_Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-STRO,FDI,60784,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLR,YC,Maritime,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GLEN,YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,YC,Maritime,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACN,FDI,63057,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-REVN,FDI,63057,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLE,FDI,63058,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GLEN,FDI,63077,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACS,FDI,63077,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACN,FDI,60784,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,FDI,ID_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-REVN,FDI,ID_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-PGTI,LW,60773,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-RISK,LW,60773,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-CHUR,LW,OR_central,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-BULL,PW,60785,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-STRO,PY,ID_Plains,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACN,PY,BC_south_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SPIL,FDI,2009.227,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GLEN,BA,BC_South_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,FDI,ID_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GLEN,LW,60773,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LIKE,FDI,2009.239,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-CHUR,FDI,63058,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LYNX,LW,ID_WA_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LYNX,PW,60785,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-HIGH,PY,BC_south_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LYNX,FDI,2009.236,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-RISK,FDI,63016,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLE,FDI,2010.21,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LADY,BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-REVN,CW,63035,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,LW,OR_central,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLE,PW,61256,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SPIR,CW,Cw_Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-CHUR,FDI,63077,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LADY,FDI,ID_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLE,LW,OR_central,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GLEN,PW,61256,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LADY,PY,ID_Plains,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLE,YC,Maritime,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LADY,BA,BC_South_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-STRO,FDC,LongviewWA,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LYNX,FDI,63058,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACN,YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-BULL,PW,61256,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-STRO,BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GOLD,FDI,63016,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,YC,Maritime,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SRMP,LW,2009.231,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GOLD,BA,BC_South_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-STRO,FDC,63094,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GLEN,FDC,63022,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,FDI,63057,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-BULL,FDI,60784,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SRMP,FDI,2009.232,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLR,BA,BC_South_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SPIR,CW,63035,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LOON,FDI,63057,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SRMP,FDI,63016,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-RISK,FDI,ID_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LYNX,LW,60773,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLE,LW,ID_WA_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LIKE,PW,61256,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-RISK,PY,ID_Plains,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LIKE,PY,BC_south_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACN,YC,Maritime,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LYNX,LW,2009.235,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,FDI,63057,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GLEN,FDI,ID_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LOON,LW,ID_WA_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LYNX,PY,ID_Plains,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SPIL,PY,ID_Plains,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-HOLB,BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LOON,BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LYNX,CW,Cw_Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-BULL,FDI,63057,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LOON,FDI,63016,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-RISK,FDI,60784,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SPIL,PY,BC_south_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SRMP,LW,60779,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SKIM,YC,Maritime,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SPIL,LW,2009.226,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-BULL,FDI,2010.229,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,FDI,2010.237,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-REVS,BA,BC_South_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-NITI,FDC,SpringfieldOR,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-RISK,FDI,63057,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GLEN,LW,60779,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACN,BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLR,CW,Cw_Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SKIM,CW,Cw_Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LADY,FDC,63094,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MKRF,FDC,LongviewWA,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-STRO,FDC,SpringfieldOR,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SPIL,FDI,63057,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-RISK,FDI,63058,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SPIL,FDI,60784,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLE,FDI,ID_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,PW,61256,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,PY,BC_south_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LADY,FDI,2010.233,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-KITI,CW,2010.24,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLR,CW,63035,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,PY,ID_Plains,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,FDI,63016,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-PARK,YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SRMP,FDI,63058,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,LW,OR_central,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LOON,PY,BC_south_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-KITI,BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLR,BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GOLD,CW,63035,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-KITS,FDC,SpringfieldOR,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-KITS,FDI,63057,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MKRF,FDI,63016,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-REVN,FDI,63016,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SPIR,FDI,63016,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SKIM,FDI,ID_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLE,LW,60779,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SPIL,LW,60779,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-KITI,LW,60773,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LOON,LW,60773,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACN,PW,61256,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLR,PW,61256,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,PY,ID_Plains,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACS,PY,BC_south_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GOLD,YC,Maritime,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-DEEP,YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-KITI,YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACS,YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,FDC,63094,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LYNX,LW,OR_central,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-NITI,BA,BC_South_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GLEN,BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LOON,FDI,63058,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-KALA,FDI,60784,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-PGTI,LW,60779,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-BULL,LW,ID_WA_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GLEN,LW,OR_central,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SRMP,PY,BC_south_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-NITI,YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GLEN,FDC,63094,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-BULL,FDI,63058,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLR,FDI,ID_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-BULL,LW,60779,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SRMP,LW,OR_central,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LADY,FDC,SpringfieldOR,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MKRF,FDC,CoosBayOR,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-STRO,FDI,63077,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-BULL,CW,63035,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LOON,LW,60779,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-BULL,LW,OR_central,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-HOLB,BA,BC_South_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-REVN,CW,Cw_Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,FDI,63058,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-DEEP,FDI,60784,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-REVN,PY,BC_south_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-KITI,CW,63035,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLR,FDC,63022,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,LW,60773,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,LW,ID_WA_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-PGTI,PY,BC_south_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-REVN,YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GLEN,LW,2010.202,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-PARK,CW,2010.221,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LADY,FDI,60784,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-STRO,LW,ID_WA_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLE,PY,ID_Plains,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-BULL,PY,BC_south_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
