Avenza_label,Trial_Type,SppComposition_Label,SppVar,PlantingYear,Num_Planted,Latitude,Longitude,Elevation,Slope,Aspect,BGC,SS_NoSpace,SMR_SNR,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,DamageandSeverity,Survival_est,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3,QuanitativeCollected,Comments_Trial
FDI_1966_Fdi-25,Operational,"",FDI,1966,,54.28074,-125.21255,890,50,200,SBSdk,SBSdk/04,,,,,,,,,,,,,,,,""
FDI_1980_Fdi-27,Operational,"",FDI,1980,,53.83325,-126.92941,988,25,140,SBSmc2,SBSmc2/06,,,,,,,,,,,,,,,,""
FDI_1980_Fdi28,Operational,"",FDI,1980,,53.83032,-126.84023,961,20,999,SBSmc2,SBSmc2/01,,,,,,,,,,,,,,,,""
FDI_1980_Fdi-29,Operational,"",FDI,1980,,53.87794,-126.84869,1005,5,220,SBSmc2,"",,,,,,,,,,,,,,,,""
FDI_1958_Fdi-3,Operational,"",FDI,1958,,54.72089,-128.83841,248,10,83,CWHws1,CWHws1/01,,,,,,,,,,,,,,,,""
FDI_1980_Fdi-30a,Operational,"",FDI,1980,,53.60554,-125.56045,990,20,180,SBSdk,SBSdk/03,,,,,,,,,,,,,,,,""
FDI_1980_Fdi-30b,Operational,"",FDI,1980,,53.60459,-125.5525,1030,30,245,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_1980_Fdi-31a,Operational,"",FDI,1980,,53.61797,-125.69922,1031,4,164,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_1980_Fdi-31b,Operational,"",FDI,1980,,53.61715,-125.68642,1025,10,280,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_1980_Fdi-31c,Operational,"",FDI,1980,,53.62114,-125.6785,1095,3,200,SBSmc2,SBSmc2/01,,,,,,,,,,,,,,,,""
FDI_1983_Fdi-32Blk2,Operational,"",FDI,1983,,54.2991,-125.4663,1074,3,140,SBSmc2,SBSmc2/03,,,,,,,,,,,,,,,,""
FDI_1983_Fdi-32Blk5,Operational,"",FDI,1983,,54.32799,-125.52386,1005,2,80,SBSmc2,SBSmc2/01,,,,,,,,,,,,,,,,""
FDI_1983_Fdi-32Blk6,Operational,"",FDI,1983,,54.32599,-125.52466,960,5,40,SBSmc2,SBSmc2/01,,,,,,,,,,,,,,,,""
FDI_1958_Fdi-4,Operational,"",FDI,1958,,54.72248,-128.8412,250,10,222,CWHws1,CWHws1/01,,,,,,,,,,,,,,,,""
FDI_1959_Fdi-5,Operational,"",FDI,1959,,54.76905,-128.82713,248,0,999,CWHws1,CWHws1/01,,,,,,,,,,,,,,,,""
FDI_1959_Fdi-6,Operational,"",FDI,1959,,54.78572,-126.12472,765,5,320,SBSmc2,SBSmc2/06,,,,,,,,,,,,,,,,""
LW_1982_Lw- 11,Operational,"",LW,1982,,54.93898,-127.58494,706,2,250,ICHmc2,ICHmc2/03,,,,,,,,,,,,,,,,""
LW_1980_Lw-10(a),Operational,"",LW,1980,,53.62114,-125.6785,1100,3,200,SBSmc2,SBSmc2/01,,,,,,,,,,,,,,,,""
LW_1980_Lw-10(b),Operational,"",LW,1980,,53.61707,-125.68651,1022,15,280,SBSmc2,SBSmc2/01,,,,,,,,,,,,,,,,""
LW_1982_Lw-12,Operational,"",LW,1982,,54.97016,-126.76878,965,5,40,SBSmc2,SBSmc2/05,,,,,,,,,,,,,,,,""
LW_1967_Lw1a,Operational,"",LW,1967,,54.70792,-128.79793,164,5,999,CWHws1,CWHws1/04,,,,,,,,,,,,,,,,""
LW_1967_Lw1b,Operational,"",LW,1967,,54.70821,-128.79706,150,5,999,CWHws1,CWHws1/04,,,,,,,,,,,,,,,,""
LW_1968_Lw2a,Operational,"",LW,1968,,54.7075,-128.79965,150,2,999,CWHws1,CWHws1/04,,,,,,,,,,,,,,,,""
LW_1968_Lw2b,Operational,"",LW,1968,,54.70823,-128.80095,150,2,999,CWHws1,CWHws1/04,,,,,,,,,,,,,,,,""
LW_1967_Lw3,Operational,"",LW,1967,,54.30722,-128.50334,308,50,270,CWHws1,CWHws1/04,,,,,,,,,,,,,,,,""
LW_1980_Lw4,Operational,"",LW,1980,,54.32648,-128.48763,466,60,20,CWHws1,CWHws1/04,,,,,,,,,,,,,,,,""
LW_1980_Lw5,Operational,"",LW,1980,,54.30257,-128.4637,336,45,190,CWHws1,CWHws1/01,,,,,,,,,,,,,,,,""
LW_1981_Lw7,Operational,"",LW,1981,,54.01582,-127.2548,996,10,140,SBSmc2,SBSmc2/01,,,,,,,,,,,,,,,,""
LW_1981_Lw-8,Operational,"",LW,1981,,54.479611,-126.853472,640,35,28,SBSdK,SBSdK/06,,,,,,,,,,,,,,,,""
LW_1980_Lw-9(a),Operational,"",LW,1980,,53.60554,-125.56045,990,15,180,SBSdk,SBSdk/03,,,,,,,,,,,,,,,,""
LW_1980_Lw-9(b),Operational,"",LW,1980,,53.60444,-125.5527,1020,35,225,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_1988_-588550000,Operational,S-Pli79Sx11Fdi10-24-7.9-19/C-1033(15),FDI,1988,11000,54.03978459,-125.5039034,,,,SBSdk,SBSmc2/01,,,,,,,,,,,,,,,,""
FDI_1966_-578390000,Operational,S-Sx85Pli15-29-9.0-19/E-290(09),FDI,1966,2000,54.27953591,-125.2150862,,,,SBSmc2,SBSdk/07,,,,,,,,,,,,,,,,""
FDI_1988_-630820000,Operational,S-Pli100-14-3.5-21/E-1160(06),FDI,1988,0,53.63379363,-123.5924704,,,,SBSmc2,SBSdw3/01,,,,,,,,,,,,,,,,""
FDI_1988_-588370000,Operational,S-Pli43Fdi39Sx18-17-3.1-23/I-1080(07),FDI,1988,2000,54.05322854,-125.4383919,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_1983_-590520000,Operational,S-Pli59Sx41-29-11.6-15/E-900(17),FDI,1983,108000,54.33432937,-125.532374,,,,SBSmc2,SBSmc2/03,,,,,,,,,,,,,,,,""
FDI_1988_-588130000,Operational,S-Pli91Sx9-28-7.9-18/C-920(15),FDI,1988,4000,54.06293161,-125.4464702,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_1966_-527900000,Operational,S-Sx70Pli30-15-3.5-17/E-889(90),FDI,1966,548000,54.5130278,-126.4920823,,,,SBSdk,SBSmc2/01,,,,,,,,,,,,,,,,""
FDI_1989_-402920000,Operational,S-Pli46Bl29Cw21Sx4-16-6.0-25/I-1120(05),FDI,1989,26200,55.41492654,-128.1361107,,,,ICHmc2,ICHmc2/53,,,,,,,,,,,,,,,,""
CW_1987_-397410000,Operational,S-Pli47Sx36Bl11Hw6-9-2.6-18/O-1055(95),CW,1987,5500,55.12984822,-127.308924,,,,ICHmc1,"",,,,,,,,,,,,,,,,""
CW_1988_-403710000,Operational,S-Act80At10Hw10-45-18.0-24/O-2000(01),CW,1988,700,55.60237209,-127.9024371,,,,ICHmc1,ICHmc2/54,,,,,,,,,,,,,,,,""
FDI_1989_-401870000,Operational,S-Hw67Sx13Fdi10Pli6Bl4-15-4.3-16/E-1114(03),FDI,1989,14100,55.34257908,-127.5592132,,,,ICHmc1,ICHmc2/01,,,,,,,,,,,,,,,,""
FDI_1986_-297930000,Operational,S-Ep50At30Sx20-27-10.0-18/E-1(11),FDI,1986,0,55.80602619,-123.7024412,,,,SBSmk2,SBSmk2/01,,,,,,,,,,,,,,,,""
FDI_1974_-319170000,Operational,S-At70Sx30-28-9.0-18/E-1(11),FDI,1974,2000,55.60995282,-123.4328145,,,,SBSmk2,SBSmk2/01,,,,,,,,,,,,,,,,""
BA_1989_-225950000,Operational,S-Bl92Hm4Hw4-11-2.1-18/E-1065(00),BA,1989,88000,56.22624261,-129.3220801,,,,ICHvc,ICHvc1/01,,,,,,,,,,,,,,,,""
FDI_1989_-128200000,Operational,S-Pli99Sx1-15-5.5-18/E-(07),FDI,1989,0,53.5039232,-123.9140906,,,,SBSmc2,SBSmc2/01,,,,,,,,,,,,,,,,""
PW_1990_-124210000,Operational,S-Sx86Pli14-21-5.6-18/E-650(08),PW,1990,2000,53.43230758,-121.879932,,,,SBSwk1,SBSwk1/09,,,,,,,,,,,,,,,,""
LW_1980_-120180000,Operational,S-Pli100-20-5.8-21/E-700(07),LW,1980,0,53.76955585,-121.8382148,,,,SBSwk1,SBSwk1,,,,,,,,,,,,,,,,""
FDI_1990_-138390000,Operational,S-Sx40Pli40Fdi20-17-6.0-18/E-933(08),FDI,1990,0,53.50873197,-121.7364485,,,,ESSFwk1,SBSvk,,,,,,,,,,,,,,,,""
FDI_1990_8221,Operational,S-Sx70Pli29Bl1-13-2.7-15/E-1117(05),FDI,1990,3370,53.00945735,-121.7384719,,,,ESSFwk1,ESSFwk1/01,,,,,,,,,,,,,,,,""
FDI_1989_-401840000,Operational,S-Hw58Pl21Cw19Fdi2-10-3.8-18/E-1093(96),FDI,1989,6000,55.33316011,-127.5719546,,,,ICHmc2,ICHmc2/01,,,,,,,,,,,,,,,,""
FDI_1983_-590510000,Operational,S-Pli54Sx37Bl9-31-11.8-18/E-1058(17),FDI,1983,93000,54.32585983,-125.5144973,,,,SBSmc2,SBSmc2/01,,,,,,,,,,,,,,,,""
