ID1,ID2,lat,long,el
EP1392-LIKE,FDC,52.57417,-121.84361,952
EP1392-LIKE,FDC,52.57417,-121.84361,952
EP1392-LIKE,FDC,52.57417,-121.84361,952
EP1392-LIKE,FDI,52.57417,-121.84361,952
EP1392-LIKE,FDI,52.57417,-121.84361,952
EP1392-LIKE,FDI,52.57417,-121.84361,952
EP1392-LIKE,YC,52.57417,-121.84361,952
EP1392-MACN,BA,55.46556,-123.28436,688
EP1392-MACN,FDI,55.46556,-123.28436,688
EP1392-MACN,FDI,55.46556,-123.28436,688
EP1392-MACN,FDI,55.46556,-123.28436,688
EP1392-MACN,PY,55.46556,-123.28436,688
EP1392-MACN,YC,55.46556,-123.28436,688
EP1392-MACN,YC,55.46556,-123.28436,688
EP1392-MACN,BG,55.46556,-123.28436,688
EP1392-MACN,PW,55.46556,-123.28436,688
EP1392-MACN,FDI,55.46556,-123.28436,688
EP1392-MACN,LW,55.46556,-123.28436,688
EP1392-MACN,LW,55.46556,-123.28436,688
EP1392-MACN,FDI,55.46556,-123.28436,688
EP1392-MACN,FDC,55.46556,-123.28436,688
EP1392-MACN,FDC,55.46556,-123.28436,688
EP1392-MACN,FDC,55.46556,-123.28436,688
EP1392-MACN,FDC,55.46556,-123.28436,688
EP1392-MACS,FDC,55.25278,-123.09342,705
EP1392-MACS,PW,55.25278,-123.09342,705
EP1392-MACS,FDI,55.25278,-123.09342,705
EP1392-MACS,FDI,55.25278,-123.09342,705
EP1392-MACS,BG,55.25278,-123.09342,705
EP1392-MACS,LW,55.25278,-123.09342,705
EP1392-MACS,LW,55.25278,-123.09342,705
EP1392-MACS,PY,55.25278,-123.09342,705
EP1392-MACS,FDI,55.25278,-123.09342,705
EP1392-MACS,PY,55.25278,-123.09342,705
EP1392-MACS,YC,55.25278,-123.09342,705
EP1392-MACS,BA,55.25278,-123.09342,705
EP1392-MACS,CW,55.25278,-123.09342,705
EP1392-MACS,FDC,55.25278,-123.09342,705
EP1392-MACS,FDC,55.25278,-123.09342,705
EP1392-MACS,FDC,55.25278,-123.09342,705
EP1392-MCLE,CW,52.4925,-122.14028,950
EP1392-MCLE,FDC,52.4925,-122.14028,950
EP1392-MCLE,FDI,52.4925,-122.14028,950
EP1392-MCLE,BG,52.4925,-122.14028,950
EP1392-MCLE,PW,52.4925,-122.14028,950
EP1392-MCLE,FDI,52.4925,-122.14028,950
EP1392-MCLE,FDI,52.4925,-122.14028,950
EP1392-MCLE,PW,52.4925,-122.14028,950
EP1392-MCLE,LW,52.4925,-122.14028,950
EP1392-MCLE,YC,52.4925,-122.14028,950
EP1392-MCLE,LW,52.4925,-122.14028,950
EP1392-MCLE,FDI,52.4925,-122.14028,950
EP1392-MCLE,LW,52.4925,-122.14028,950
EP1392-MCLE,PY,52.4925,-122.14028,950
EP1392-MCLE,FDC,52.4925,-122.14028,950
EP1392-MCLE,FDC,52.4925,-122.14028,950
EP1392-MCLE,CW,52.4925,-122.14028,950
EP1392-MCLE,FDC,52.4925,-122.14028,950
EP1392-MCLE,FDC,52.4925,-122.14028,950
EP1392-PGTI,FDI,53.76639,-122.71861,600
EP1392-PGTI,FDI,53.76639,-122.71861,600
EP1392-PGTI,BG,53.76639,-122.71861,600
EP1392-PGTI,FDI,53.76639,-122.71861,600
EP1392-PGTI,FDI,53.76639,-122.71861,600
EP1392-PGTI,FDI,53.76639,-122.71861,600
EP1392-PGTI,FDI,53.76639,-122.71861,600
EP1392-PGTI,LW,53.76639,-122.71861,600
EP1392-PGTI,LW,53.76639,-122.71861,600
EP1392-PGTI,LW,53.76639,-122.71861,600
EP1392-PGTI,PY,53.76639,-122.71861,600
EP1392-PGTI,LW,53.76639,-122.71861,600
EP1392-PGTI,BA,53.76639,-122.71861,600
EP1392-PGTI,CW,53.76639,-122.71861,600
EP1392-PGTI,CW,53.76639,-122.71861,600
EP1392-PGTI,FDC,53.76639,-122.71861,600
EP1392-RISK,PW,52.01028,-122.72722,1420
EP1392-RISK,FDI,52.01028,-122.72722,1420
EP1392-RISK,LW,52.01028,-122.72722,1420
EP1392-RISK,LW,52.01028,-122.72722,1420
EP1392-RISK,FDI,52.01028,-122.72722,1420
EP1392-RISK,FDI,52.01028,-122.72722,1420
EP1392-RISK,PY,52.01028,-122.72722,1420
EP1392-RISK,FDI,52.01028,-122.72722,1420
EP1392-RISK,FDI,52.01028,-122.72722,1420
