Trial_ID,Trial_Name,SppComposition_Label,PlantingYear,Project_Name,EP,Trial_Type,Latitude,Longitude,Elevation,Slope,Aspect,BGCv12,BGC,SS_NoSpace,SMR,SNR,SiteSoilFactor1,SiteSoilFactor2,SiteSoilFactor3,SitePrep,PlantingDate,PlantingSeason,Comments_Site,SppVar,Seedlots,Seed_Class,StockType,Num_Planted,Planting_Comments,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,Survival_est,Damage_Comments,SiteIndex,SiteIndex_Method,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3
Fdi-3,"","",1958,Skeena_Offsite,"",Operational,54.72089,-128.83841,248,10,83,"",CWHws1,CWHws1/01,"",,,,,,,October,"",FDI,D26,"",3+0 BR,,,,,,,,,,,,,,,,,
Fdi-30a,"","",1980,Skeena_Offsite,"",Operational,53.60554,-125.56045,990,20,180,"",SBSdk,SBSdk/03,"",,,,,,,"","",FDI,"114, 867, 2615, 2906","",2+0 BR,,,,,,,,,,,,,,,,,
Fdi-30b,"","",1980,Skeena_Offsite,"",Operational,53.60459,-125.5525,1030,30,245,"",SBSdk,SBSdk/01,"",,,,,,,"",Licensees destroyed most trees because they were worried about Adelges cooleyii,FDI,"114, 867, 2615, 2906","",2+0 BR,,,,,,,,,,,,,,,,,
Fdi-31a,"","",1980,Skeena_Offsite,"",Operational,53.61797,-125.69922,1031,4,164,"",SBSdk,SBSdk/01,"",,,,,,,"",Dispersed tree plot,FDI,114,"",2+0 BR,,,,,,,,,,,,,,,,,
Fdi-31b,"","",1980,Skeena_Offsite,"",Operational,53.61715,-125.68642,1025,10,280,"",SBSdk,SBSdk/01,"",,,,,,,"",Dispersed tree plot.  Pouring rain all day and a 13km hike in through alder covered roads.  All electronic equipment failed and so heights estimated.,FDI,114,"",2+0 BR,,,,,,,,,,,,,,,,,
Fdi-31c,"","",1980,Skeena_Offsite,"",Operational,53.62114,-125.6785,1095,3,200,"",SBSmc2,SBSmc2/01,"",,,,,,,"",aspect  and slope variable,FDI,114,"",2+0 BR,,,,,,,,,,,,,,,,,
Fdi-32Blk2,"","",1983,Skeena_Offsite,"",Operational,54.2991,-125.4663,1074,3,140,"",SBSmc2,SBSmc2/03,"",,,,,,,May,aspect  and slope variable,FDI,3821/1885,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
Fdi-32Blk5,"","",1983,Skeena_Offsite,"",Operational,54.32799,-125.52386,1005,2,80,"",SBSmc2,SBSmc2/01,"",,,,,,,May,Plantation 6735 or 6114,FDI,3821,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
Fdi-32Blk6,"","",1983,Skeena_Offsite,"",Operational,54.32599,-125.52466,960,5,40,"",SBSmc2,SBSmc2/01,"",,,,,,,May,"",FDI,1885,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
Fdi-4,"","",1958,Skeena_Offsite,"",Operational,54.72248,-128.8412,250,10,222,"",CWHws1,CWHws1/01,"",,,,,,,October,Plantation 6801,FDI,D26 Shuswap,"",3+0 BR,,,,,,,,,,,,,,,,,
